sent,label
Reminder for daily reporting and attendance on mob app daily 9:00 am,daily reporting and attendance on mob app
How will you remind me let me know,let me know
Can u remind me till 11,Not Found
Call at 9 am every day,every day
Remind me to bid for flights on 13th december at 6 pm,13th december
Reminder 11am tomorrorw buy bell for papu,Not Found
Remind me to book b tickets tonight by 10 pm,book b tickets tonight by 10 pm
Can you remind me to masturbate,masturbate
Reminder on invoice preparation,Not Found
1 alarm at 1 30am please. Ignore the 12 20am one,Not Found
One more reminder....2:00 pm ...today for meeting,...today
call sagar @5:30 pm,Not Found
I'm upset vth d reminder service,Not Found
Remind me to see. Concert at 7pm,see. Concert
Remind me again after half an hour,Not Found
Need a reminder for payment and phone at 2pm,payment and phone
Remind me tomorrow 11 am to pack gift for my college sir.,11 am to pack gift for my college sir.
Remind me on 1st dec to take appointment of those 2 customer at sanaswadi,1st dec to take appointment of those 2 customer
Remind me to play football at 10 5,play football at 10 5
Weke up alarm I need morning,Not Found
Would you remind me to print the log sheet out today,print the log sheet out today
Cud u pls set up a recuring reminder,Not Found
Hey thanks for ur reminder,Not Found
Please remind me every Tuesday n Thursday for a meeting at Chopras\, at 11 am,me every Tuesday n Thursday for a meeting
Yes.. I'll surely use it.. When I need u to remind me something! Thank you,Not Found
Make it a everyday schedule,Not Found
What an early reminder?,Not Found
Remind me to pray daily at noon,pray daily
Okk,Not Found
Remind me of talking with RICS TODAY AT 11 AM \,,talking with RICS TODAY AT 11 AM \,
Please set this for complete month,Not Found
1 jan 11.55,Not Found
Remind me to take my friend's car for wash on 12th before she comes back,take my friend's car for wash on 12th before she comes back
Remind me next month 16th for hepatitis B vaccination at 10am,next month 16th for hepatitis B vaccination
hieee,Not Found
Remind me to attend reception of Kishor Bhai's Son on 28th November,attend reception of Kishor Bhai's Son on 28th November
Manali sir reminder aata nhi hai,Not Found
Cancl,Not Found
Thank you Sachin for your reminder...ðŸ˜Š,Not Found
Reminder me to take print out,take print out
I have to add reminder,add reminder
Remind me to renew my insurance of car on 20/11/2017,renew my insurance of car
Can the reminder be for 365 days?,Not Found
Call means what?,Not Found
Hey good morning,Not Found
Plz remind me to go to the gym at 9am,gym
Instead of 5 remind me at 5:30,Not Found
OK Tomo I want a reminder to b set,Not Found
I want to be set,be set
Plz remind ne,Not Found
Hey thanks. Reminder for what exactly?,Not Found
Hie can u remind me to finish Eis audit by 10 January,remind me to finish Eis audit by 10 January
Remaind for dinner at 7:08 on today,dinner
It's ok... I'll let you know if I need any help,any help
Remind me from daily from today,Not Found
Please remind me to take a test at 4:30 pm tomorrow.,take a test at 4:30 pm tomorrow.
Then remind me for studying at 3:30 pm,studying at 3:30 pm
Remind me to do my studies,do my studies
What is the reminder?,Not Found
Tell me something about haptik,Not Found
Remind me at 830 today - to carry S C O solution home,at 830 today -
